rank_date,team,rank
2018-06-01,Russia,70
2018-06-01,Saudi Arabia,67
2018-06-01,Spain,10
2018-06-01,Portugal,4
2018-06-01,France,7
2018-06-01,Australia,36
2014-06-01,Brazil,3
2014-06-01,Croatia,18
2014-06-01,Spain,1
2014-06-01,Netherlands,15
2014-06-01,Germany,2
2014-06-01,Portugal,4
